species,n.ind,sp.name,gen.name,fam.name
Phyllostegia brevidens,5,Phyllostegia brevidens,Phyllostegia,Lamiaceae
Phyllostegia electra,144,Phyllostegia electra,Phyllostegia,Lamiaceae
Phyllostegia renovans,544,Phyllostegia renovans,Phyllostegia,Lamiaceae
Phymatosorus grossus,1,Phymatosorus grossus,Phymatosorus,Polypodiaceae
Phytelephas macrocarpa,2,Phytelephas macrocarpa,Phytelephas,Arecaceae
Phytelephas aequatorialis,4,Phytelephas aequatorialis,Phytelephas,Arecaceae
Phytolacca dioica,1,Phytolacca dioica,Phytolacca,Phytolaccaceae
Picramnia sp.,5,Picramnia,Picramnia,Picramniaceae
Pigafetta filaris,1,Pigafetta filaris,Pigafetta,Arecaceae
Pilea cadierei,1,Pilea cadierei,Pilea,Urticaceae
Pilea sp.,8,Pilea,Pilea,Urticaceae
Pimenta racemosa,3,Pimenta racemosa,Pimenta,Myrtaceae
Pimenta dioica,5,Pimenta dioica,Pimenta,Myrtaceae
Pinanga fractiflexa,1,Pinanga fractiflexa,Pinanga,Arecaceae
Pinanga javana,2,Pinanga javana,Pinanga,Arecaceae
Pinanga philippinensis,2,Pinanga philippinensis,Pinanga,Arecaceae
Pinanga scortechinii,3,Pinanga scortechinii,Pinanga,Arecaceae
Pinanga adangensis,8,Pinanga adangensis,Pinanga,Arecaceae
Pinanga insignis,11,Pinanga insignis,Pinanga,Arecaceae
Piper methysticum 'Gowi (340)',4,Piper methysticum,Piper,Piperaceae
Piper methysticum 'Hanakapiai',1,Piper methysticum,Piper,Piperaceae
Piper methysticum 'Hiwa',1,Piper methysticum,Piper,Piperaceae
Piper methysticum 'Honokaneiki',1,Piper methysticum,Piper,Piperaceae
Piper methysticum 'Isa',1,Piper methysticum,Piper,Piperaceae
Piper methysticum 'Kial (348)',3,Piper methysticum,Piper,Piperaceae
Piper methysticum 'Mahakea',1,Piper methysticum,Piper,Piperaceae
Piper methysticum 'Nehe',3,Piper methysticum,Piper,Piperaceae
Piper methysticum 'Nene',5,Piper methysticum,Piper,Piperaceae
Piper methysticum 'Ume',1,Piper methysticum,Piper,Piperaceae
Piper methysticum 'Waiahuakua',1,Piper methysticum,Piper,Piperaceae
Piper amalago,1,Piper amalago,Piper,Piperaceae
Piper auritum,1,Piper auritum,Piper,Piperaceae
Piper magnificum,1,Piper magnificum,Piper,Piperaceae
Piper rothiana,1,Piper rothiana,Piper,Piperaceae
Piper sanctum,1,Piper sanctum,Piper,Piperaceae
Piper betle,2,Piper betle,Piper,Piperaceae
Piper wichmannii,2,Piper methysticum var. wichmannii,Piper,Piperaceae
Piper nigrum,9,Piper nigrum,Piper,Piperaceae
Piper methysticum,72,Piper methysticum,Piper,Piperaceae
Pipturus albidus,18,Pipturus albidus,Pipturus,Urticaceae
Pipturus ruber,244,Pipturus ruber,Pipturus,Urticaceae
Pipturus kauaiensis,580,Pipturus kauaiensis,Pipturus,Urticaceae
Piscidia piscipula,1,Piscidia piscipula,Piscidia,Fabaceae
Pisonia umbellifera,17,Pisonia umbellifera,Pisonia,Nyctaginaceae
Pisonia sandwicensis,58,Pisonia sandwicensis,Pisonia,Nyctaginaceae
Pisonia wagneriana,422,Pisonia wagneriana,Pisonia,Nyctaginaceae
Pithecellobium sp.,4,Pithecellobium,Pithecellobium,Fabaceae
Pittosporum senacia subsp. senacia,3,Pittosporum senacia subsp. senacia,Pittosporum,Pittosporaceae
Pittosporum brackenridgei,1,Pittosporum brackenridgei,Pittosporum,Pittosporaceae
Pittosporum pentandrum,1,Pittosporum pentandrum,Pittosporum,Pittosporaceae
Pittosporum confertiflorum,3,Pittosporum confertiflorum,Pittosporum,Pittosporaceae
Pittosporum arborescens,5,Pittosporum arborescens,Pittosporum,Pittosporaceae
Pittosporum yunckeri,8,Pittosporum yunckeri,Pittosporum,Pittosporaceae
Pittosporum hosmeri,14,Pittosporum hosmeri,Pittosporum,Pittosporaceae
Pittosporum glabrum,19,Pittosporum glabrum,Pittosporum,Pittosporaceae
Pittosporum gayanum,25,Pittosporum gayanum,Pittosporum,Pittosporaceae
Pittosporum kauaiense,44,Pittosporum kauaiense,Pittosporum,Pittosporaceae
Pittosporum halophilum,45,Pittosporum halophilum,Pittosporum,Pittosporaceae
Pittosporum napaliense,528,Pittosporum napaliense,Pittosporum,Pittosporaceae
Pityrogramma austroamericana,14,Pityrogramma calomelanos var. austroamericana,Pityrogramma,Pteridaceae
Planchonella obovata,1,Planchonella obovata,Planchonella,Sapotaceae
Planchonella torricellensis,1,Planchonella torricellensis,Planchonella,Sapotaceae
Planchonella sp.,6,Planchonella,Planchonella,Sapotaceae
Planchonella garberi,11,Planchonella garberi,Planchonella,Sapotaceae
Plantago princeps var. anomala,1,Plantago princeps var. anomala,Plantago,Plantaginaceae
Platycerium wandae,1,Platycerium wandae,Platycerium,Polypodiaceae
Platycerium bifurcatum,2,Platycerium bifurcatum,Platycerium,Polypodiaceae
Platycerium hillii,2,Platycerium hillii,Platycerium,Polypodiaceae
Plectranthus parviflorus,15,Plectranthus parviflorus,Plectranthus,Lamiaceae
Pleiogynium timoriense,1,Pleiogynium timoriense,Pleiogynium,Anacardiaceae
Pleiostachya pruinosa,4,Pleiostachya pruinosa,Pleiostachya,Marantaceae
Pleuranthodium sp.,5,Pleuranthodium,Pleuranthodium,Zingiberaceae
Plocama pendula,1,Plocama pendula,Plocama,Rubiaceae
Plumbago auriculata,8,Plumbago auriculata,Plumbago,Plumbaginaceae
Plumbago zeylanica,4612,Plumbago zeylanica,Plumbago,Plumbaginaceae
Plumeria obtusa var. obtusa,1,Plumeria obtusa,Plumeria,Apocynaceae
Plumeria alba,2,Plumeria alba,Plumeria,Apocynaceae
Plumeria hybrid,3,Plumeria,Plumeria,Apocynaceae
Plumeria pudica,6,Plumeria pudica,Plumeria,Apocynaceae
Plumeria obtusa,8,Plumeria obtusa,Plumeria,Apocynaceae
Plumeria rubra,25,Plumeria rubra,Plumeria,Apocynaceae
Plumeria sp.,33,Plumeria,Plumeria,Apocynaceae
Poa mannii,105,Poa mannii,Poa,Poaceae
Podocarpus sp.,1,Podocarpus,Podocarpus,Podocarpaceae
Podocarpus elatus,6,Podocarpus elatus,Podocarpus,Podocarpaceae
Podranea ricasoliana,3,Podranea ricasoliana,Podranea,Bignoniaceae
Pogonatherum paniceum,22,Pogonatherum paniceum,Pogonatherum,Poaceae
Poitea carinalis,2,Poitea carinalis,Poitea,Fabaceae
Polyalthia lateriflora,1,Polyalthia lateriflora,Polyalthia,Annonaceae
Polyalthia sclerophylla,1,Polyalthia sclerophylla,Polyalthia,Annonaceae
Polyalthia sp.,1,Polyalthia,Polyalthia,Annonaceae
Polyalthia longifolia,3,Polyalthia longifolia,Polyalthia,Annonaceae
Polyalthia suberosa,3,Polyalthia suberosa,Polyalthia,Annonaceae
Polygonum sp.,1,Polygonum,Polygonum,Polygonaceae
Polypodium pellucidum var. pellucidum,27,Polypodium pellucidum var. pellucidum,Polypodium,Polypodiaceae
Polypodium helleri,1,Polypodium helleri,Polypodium,Polypodiaceae
Polypodium sp.,4,Polypodium,Polypodium,Polypodiaceae
Polyscias guilfoylei,1,Polyscias guilfoylei,Polyscias,Araliaceae
Polyscias hawaiensis,1,Polyscias hawaiensis,Polyscias,Araliaceae
Polyscias macgillivrayi,2,Polyscias macgillivrayi,Polyscias,Araliaceae
Polyscias nodosa,2,Polyscias nodosa,Polyscias,Araliaceae
Polyscias flynnii,3,Polyscias flynnii,Polyscias,Araliaceae
Polyscias sp.,3,Polyscias,Polyscias,Araliaceae
Polyscias fruticosa,4,Polyscias fruticosa,Polyscias,Araliaceae
Polyscias subcapitata,4,Polyscias subcapitata,Polyscias,Araliaceae
Polyscias sandwicensis,9,Polyscias sandwicensis,Polyscias,Araliaceae
Polyscias oahuensis,30,Polyscias oahuensis,Polyscias,Araliaceae
Polyscias racemosa,1201,Polyscias racemosa,Polyscias,Araliaceae
Polyscias bisattenuata,1297,Polyscias bisattenuata,Polyscias,Araliaceae
Ponapea hosinoi,2,Ponapea hosinoi,Ponapea,Arecaceae
Ponapea ledermanniana,2,Ponapea ledermanniana,Ponapea,Arecaceae
Pongamia pinnata,1,Pongamia pinnata,Pongamia,Arecaceae
Portlandia coccinea,1,Portlandia coccinea,Portlandia,Rubiaceae
Portlandia harrisii,4,Portlandia harrisii,Portlandia,Rubiaceae
Portlandia proctorii,4,Portlandia proctorii,Portlandia,Rubiaceae
Portlandia platantha,14,Portlandia platantha,Portlandia,Rubiaceae
Portlandia grandiflora,15,Portlandia grandiflora,Portlandia,Rubiaceae
Portulaca sclerocarpa,8,Portulaca sclerocarpa,Portulaca,Portulacaceae
Portulaca lutea,19,Portulaca lutea,Portulaca,Portulacaceae
Portulaca villosa,37,Portulaca villosa,Portulaca,Portulacaceae
Portulaca molokiniensis,119,Portulaca molokiniensis,Portulaca,Portulacaceae
Posoqueria latifolia,3,Posoqueria latifolia,Posoqueria,Rubiaceae
Pouteria alnifolia,1,Pouteria alnifolia,Pouteria,Sapotaceae
Pouteria caimito,1,Pouteria caimito,Pouteria,Sapotaceae
Pouteria dominigensis,1,Pouteria dominigensis,Pouteria,Sapotaceae
Pouteria glomerata,2,Pouteria glomerata,Pouteria,Sapotaceae
Pouteria multiflora,3,Pouteria multiflora,Pouteria,Sapotaceae
Pouteria sapota,5,Pouteria sapota,Pouteria,Sapotaceae
Pouteria sp.,5,Pouteria,Pouteria,Sapotaceae
Pouteria campechiana,14,Pouteria campechiana,Pouteria,Sapotaceae
Premna cordifolia,1,Premna cordifolia,Premna,Lamiaceae
Premna odorata,2,Premna odorata,Premna,Lamiaceae
Premna serratifolia,6,Premna serratifolia,Premna,Lamiaceae
Prestoea acuminata,1,Prestoea acuminata,Prestoea,Arecaceae
Pritchardia beccariana,1,Pritchardia beccariana,Pritchardia,Arecaceae
Pritchardia forbesiana,1,Pritchardia forbesiana,Pritchardia,Arecaceae
Pritchardia mitiaroana,1,Pritchardia mitiaroana,Pritchardia,Arecaceae
Pritchardia elliptica,2,Pritchardia glabrata,Pritchardia,Arecaceae
Pritchardia flynnii,3,Pritchardia flynnii,Pritchardia,Arecaceae
Pritchardia waialealeana,4,Pritchardia waialealeana,Pritchardia,Arecaceae
Pritchardia hardyi,6,Pritchardia hardyi,Pritchardia,Arecaceae
Pritchardia lanigera,6,Pritchardia lanigera,Pritchardia,Arecaceae
Pritchardia sp.,6,Pritchardia,Pritchardia,Arecaceae
Pritchardia thurstonii,8,Pritchardia thurstonii,Pritchardia,Arecaceae
Pritchardia viscosa,9,Pritchardia viscosa,Pritchardia,Arecaceae
Pritchardia schattaueri,11,Pritchardia schattaueri,Pritchardia,Arecaceae
Pritchardia munroi,16,Pritchardia munroi,Pritchardia,Arecaceae
Pritchardia martii,22,Pritchardia martii,Pritchardia,Arecaceae
Pritchardia kaalae,24,Pritchardia kaalae,Pritchardia,Arecaceae
Pritchardia pacifica,24,Pritchardia pacifica,Pritchardia,Arecaceae
Pritchardia lowreyana,33,Pritchardia lowreyana,Pritchardia,Arecaceae
Pritchardia perlmanii,42,Pritchardia perlmanii,Pritchardia,Arecaceae
Pritchardia arecina,68,Pritchardia arecina,Pritchardia,Arecaceae
Pritchardia minor,75,Pritchardia minor,Pritchardia,Arecaceae
Pritchardia remota,77,Pritchardia remota,Pritchardia,Arecaceae
Pritchardia maideniana,89,Pritchardia maideniana,Pritchardia,Arecaceae
Pritchardia glabrata,110,Pritchardia glabrata,Pritchardia,Arecaceae
Pritchardia hillebrandii,164,Pritchardia hillebrandii,Pritchardia,Arecaceae
Pritchardia napaliensis,410,Pritchardia napaliensis,Pritchardia,Arecaceae
Prosopis juliflora,1,Prosopis juliflora,Prosopis,Fabaceae
Prosopis pallida,3,Prosopis pallida,Prosopis,Fabaceae
Protium obtusifolium,1,Protium obtusifolium,Protium,Proteaceae
Prunus africana,4,Prunus africana,Prunus,Rosaceae
Pseudanamomis umbellulifera,1,Pseudanamomis umbellulifera,Pseudanamomis,Myrtaceae
Pseuderanthemum carruthersii,2,Pseuderanthemum carruthersii,Pseuderanthemum,Acanthaceae
Pseuderanthemum reticulatum,3,Pseuderanthemum carruthersii,Pseuderanthemum,Acanthaceae
Pseuderanthemum laxiflorum,18,Pseuderanthemum laxiflorum,Pseuderanthemum,Acanthaceae
Pseuderanthemum sp.,30,Pseuderanthemum,Pseuderanthemum,Acanthaceae
Pseudobombax ellipticum,3,Pseudobombax ellipticum,Pseudobombax,Malvaceae
Pseudognaphalium sandwicensium var. sandwicensium,9,Pseudognaphalium sandwicensium var. sandwicensium,Pseudognaphalium,Asteraceae
Pseudomussaenda flava,1,Pseudomussaenda flava,Pseudomussaenda,Rubiaceae
Pseudophoenix sargentii,2,Pseudophoenix sargentii,Pseudophoenix,Arecaceae
Pseudospondias microcarpa,2,Pseudospondias microcarpa,Pseudospondias,Anacardiaceae
Psidium acutangulum,1,Psidium acutangulum,Psidium,Myrtaceae
Psidium cattleianum,1,Psidium cattleianum,Psidium,Myrtaceae
Psidium guineense,1,Psidium guineense,Psidium,Myrtaceae
Psidium guajava,7,Psidium guajava,Psidium,Myrtaceae
Psilotum nudum,2,Psilotum,Psilotum,Psilotaceae
Psychotria punctata var. punctata,3,Psychotria punctata var. punctata,Psychotria,Rubiaceae
Psychotria insularum,1,Psychotria insularum,Psychotria,Rubiaceae
Psychotria serpens,2,Psychotria serpens,Psychotria,Rubiaceae
Psychotria viridis,3,Psychotria viridis,Psychotria,Rubiaceae
Psychotria kaduana,4,Psychotria kaduana,Psychotria,Rubiaceae
Psychotria leptothyrsa,4,Psychotria leptothyrsa,Psychotria,Rubiaceae
Psychotria carthagenensis,7,Psychotria carthagenensis,Psychotria,Rubiaceae
Psychotria hobdyi,8,Psychotria hobdyi,Psychotria,Rubiaceae
Psychotria greenwelliae,12,Psychotria greenwelliae,Psychotria,Rubiaceae
Psychotria hombroniana,14,Psychotria hombroniana,Psychotria,Rubiaceae
Psychotria sp.,33,Psychotria,Psychotria,Rubiaceae
Psychotria mariniana,222,Psychotria mariniana,Psychotria,Rubiaceae
Psydrax odorata,1738,Psydrax odorata,Psydrax,Rubiaceae
Pteralyxia macrocarpa,1,Pteralyxia laurifolia,Pteralyxia,Apocynaceae
Pteralyxia kauaiensis,21,Pteralyxia kauaiensis,Pteralyxia,Apocynaceae
Pteris irregularis,2,Pteris irregularis,Pteris,Pteridaceae
Pteris hillebrandii,132,Pteris hillebrandii,Pteris,Pteridaceae
Pterocarpus indicus,2,Pterocarpus dalbergioides,Pterocarpus,Fabaceae
Pterocarpus sp.,3,Pterocarpus,Pterocarpus,Fabaceae
Pterocarpus violaceus,3,Pterocarpus violaceus,Pterocarpus,Fabaceae
Pterospermum suberifolium,1,Pterospermum suberifolium,Pterospermum,Malvaceae
Pterospermum acerifolium,2,Pterospermum acerifolium,Pterospermum,Malvaceae
Pterygota brasiliensis,1,Pterygota brasiliensis,Pterygota,Malvaceae
Ptychococcus paradoxus,1,Ptychococcus paradoxus,Ptychococcus,Arecaceae
Ptychosperma ambiguum,1,Ptychosperma ambiguum,Ptychosperma,Arecaceae
Ptychosperma microcarpum,1,Ptychosperma microcarpum,Ptychosperma,Arecaceae
Ptychosperma propinquum,1,Ptychosperma propinquum,Ptychosperma,Arecaceae
Ptychosperma salomonense,1,Ptychosperma salomonense,Ptychosperma,Arecaceae
Ptychosperma lineare,2,Ptychosperma lineare,Ptychosperma,Arecaceae
Ptychosperma waitianum,2,Ptychosperma waitianum,Ptychosperma,Arecaceae
Ptychosperma schefferi,5,Ptychosperma schefferi,Ptychosperma,Arecaceae
Ptychosperma sp.,14,Ptychosperma,Ptychosperma,Arecaceae
Ptychosperma macarthurii,31,Ptychosperma macarthurii,Ptychosperma,Arecaceae
Ptychosperma elegans,50,Ptychosperma elegans,Ptychosperma,Arecaceae
Punica granatum,17,Punica granatum,Punica,Lythraceae
Pyrostegia venusta,1,Pyrostegia venusta,Pyrostegia,Bignoniaceae
Quassia amara,2,Quassia amara,Quassia,Simaroubaceae
Quercus virginiana,14,Quercus virginiana,Quercus,Fagaceae
Radermachera hainanensis,1,Radermachera hainanensis,Radermachera,Bignoniaceae
Randia aculeata,1,Randia aculeata,Randia,Rubiaceae
Randia armata,1,Randia armata,Randia,Rubiaceae
Randia echinocarpa,7,Randia echinocarpa,Randia,Rubiaceae
Rangaeris sp.,1,Rangaeris,Rangaeris,Orchidaceae
Raphia farinifera,4,Raphia farinifera,Raphia,Arecaceae
Rauvolfia caffra,1,Rauvolfia caffra,Rauvolfia,Apocynaceae
Rauvolfia tetraphylla,3,Rauvolfia tetraphylla,Rauvolfia,Apocynaceae
Rauvolfia verticillata,3,Rauvolfia verticillata,Rauvolfia,Apocynaceae
Rauvolfia sandwicensis,229,Rauvolfia sandwicensis,Rauvolfia,Apocynaceae
Ravenala madagascariensis,6,Ravenala madagascariensis,Ravenala,Strelitziaceae
Ravenea rivularis,7,Ravenea rivularis,Ravenea,Arecaceae
Reinhardtia simplex,2,Reinhardtia simplex,Reinhardtia,Arecaceae
Reinhardtia gracilis,3,Reinhardtia gracilis,Reinhardtia,Arecaceae
Remya kauaiensis,41,Remya kauaiensis,Remya,Asteraceae
Renanthera sp.,1,Renanthera,Renanthera,Orchidaceae
Renanthera coccinea,7,Renanthera coccinea,Renanthera,Orchidaceae
Renealmia alpinia,1,Renealmia alpinia,Renealmia,Zingiberaceae
Retrophyllum minus,3,Retrophyllum minus,Retrophyllum,Podocarpaceae
Rhaphidophora pertusa,1,Rhaphidophora pertusa,Rhaphidophora,Araceae
Rhaphiolepis umbellata var. integerrima,1,Rhaphiolepis integerrima,Rhaphiolepis,Rosaceae
Rhapis subtilis,24,Rhapis subtilis,Rhapis,Arecaceae
Rhizophora mangle,4,Rhizophora mangle,Rhizophora,Rhizophoraceae
Rhopaloblaste augusta,1,Rhopaloblaste augusta,Rhopaloblaste,Arecaceae
Rhopaloblaste ceramica,2,Rhopaloblaste ceramica,Rhopaloblaste,Arecaceae
Rhopalostylis baueri,1,Rhopalostylis baueri,Rhopalostylis,Arecaceae
Rhus taitensis,1,Rhus taitensis,Rhus,Anacardiaceae
Rhus sandwicensis,5,Rhus sandwicensis,Rhus,Anacardiaceae
Rhyncholaelia digbyana,2,Rhyncholaelia digbyana,Rhyncholaelia,Orchidaceae
Rhyncholaelia glauca,2,Rhyncholaelia glauca,Rhyncholaelia,Orchidaceae
Rhynchospora sclerioides,1,Rhynchospora sclerioides,Rhynchospora,Cyperaceae
Rhynchostylis gigantea,1,Rhynchostylis gigantea,Rhynchostylis,Orchidaceae
Rhynchostylis retusa,4,Rhynchostylis retusa,Rhynchostylis,Orchidaceae
Ricinus communis,2,Ricinus communis,Ricinus,Euphorbiaceae
Rollinia deliciosa,4,Rollinia mucosa,Rollinia,Annonaceae
Rondeletia odorata,3,Rondeletia odorata,Rondeletia,Rubiaceae
Rondeletia inermis,4,Rondeletia inermis,Rondeletia,Rubiaceae
Rosenbergiodendron longiflorum,2,Rosenbergiodendron longiflorum,Rosenbergiodendron,Rubiaceae
Rosenbergiodendron formosum,4,Rosenbergiodendron formosum,Rosenbergiodendron,Rubiaceae
Roseodendron donnell-smithii,33,Roseodendron donnell-smithii,Roseodendron,Bignoniaceae
Rothmannia longiflora,4,Rothmannia longiflora,Rothmannia,Rubiaceae
Roystonea oleracea,2,Roystonea oleracea,Roystonea,Arecaceae
Roystonea regia,15,Roystonea regia,Roystonea,Arecaceae
Rubus hawaiensis,184,Rubus hawaiensis,Rubus,Rosaceae
Ruellia chartacea,1,Ruellia chartacea,Ruellia,Acanthaceae
Ruellia sp.,6,Ruellia,Ruellia,Acanthaceae
Ruizia cordata,22,Ruizia cordata,Ruizia,
Rumex albescens,224,Rumex albescens,Rumex,Polygonaceae
Ruprechtia coriacea,1,Ruprechtia coriacea,Ruprechtia,Polygonaceae
Ruspolia hypocrateriformis,10,Ruspolia hypocrateriformis,Ruspolia,Acanthaceae
Sabal bermudana,1,Sabal bermudana,Sabal,Arecaceae
Sabal sp.,3,Sabal,Sabal,Arecaceae
Sabal causiarum,4,Sabal causiarum,Sabal,Arecaceae
Sabal mexicana,5,Sabal mexicana,Sabal,Arecaceae
Sabal minor,7,Sabal minor,Sabal,Arecaceae
Sabal mauritiiformis,10,Sabal mauritiiformis,Sabal,Arecaceae
Sabal palmetto,36,Sabal palmetto,Sabal,Arecaceae
Saccharum officinarum '18 Hinahina',3,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Badilla',2,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'C 92-30',1,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'H 50-7209',3,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'H.C. 62',1,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Halalii',7,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Hapai',1,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Hinahina',12,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Honuaula',9,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Ieie',20,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Kea',2,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Lahaina',3,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Lahi',2,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Laukona',8,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Lehu',1,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Mahaiula',2,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Manulele',5,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Moano',1,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Nanahu',1,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Ohia',3,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Pakaweli',3,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Pohina',2,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Pokapua',5,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Puaole',5,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Uahi-a-Pele',5,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Uala',1,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Uhu',2,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Ula',1,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Uluhui',11,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Waimea',1,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Waiohia',1,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum 'Yellow Caledonia',1,Saccharum officinarum,Saccharum,Poaceae
Saccharum officinarum,27,Saccharum officinarum,Saccharum,Poaceae
Sadleria pallida,1,Sadleria pallida,Sadleria,Blechnaceae
Sadleria sp.,17,Sadleria,Sadleria,Blechnaceae
Sadleria cyatheoides,57,Sadleria cyatheoides,Sadleria,Blechnaceae
Salacca wallichiana,2,Salacca wallichiana,Salacca,Arecaceae
Salacca zalacca,4,Salacca zalacca,Salacca,Arecaceae
Salvia buchananii,1,Salvia buchananii,Salvia,Lamiaceae
Salvia elegans,1,Salvia elegans,Salvia,Lamiaceae
Salvia pansamalensis,1,Salvia pansamalensis,Salvia,Lamiaceae
Salvia hybrid,3,Salvia,Salvia,Lamiaceae
Salvia mexicana,8,Salvia mexicana,Salvia,Lamiaceae
Salvia sp.,64,Salvia,Salvia,Lamiaceae
Samanea saman,1,Albizia saman,Albizia,Fabaceae
Sanchezia parvibracteata,7,Sanchezia parvibracteata,Sanchezia,Acanthaceae
Sanchezia speciosa,22,Sanchezia speciosa,Sanchezia,Acanthaceae
Sandoricum koetjape,3,Sandoricum koetjape,Sandoricum,Meliaceae
Sansevieria trifasciata,1,Sansevieria trifasciata,Sansevieria,Asparagaceae
Sansevieria sp.,3,Sansevieria,Sansevieria,Asparagaceae
Santalum paniculatum var. pilgeri,6,Santalum paniculatum var. pilgeri,Santalum,Santalaceae
Santalum album,1,Santalum album,Santalum,Santalaceae
Santalum involutum,1,Santalum involutum,Santalum,Santalaceae
Santalum sp.,1,Santalum,Santalum,Santalaceae
Santalum ellipticum,4,Santalum ellipticum,Santalum,Santalaceae
Santalum freycinetianum,4,Santalum freycinetianum,Santalum,Santalaceae
Santalum pyrularium,7,Santalum pyrularium,Santalum,Santalaceae
Sapindus saponaria,3,Sapindus saponaria,Sapindus,Sapindaceae
Sapindus oahuensis,116,Sapindus oahuensis,Sapindus,Sapindaceae
Saraca indica,1,Saraca indica,Saraca,Fabaceae
Saraca asoca,2,Saraca asoca,Saraca,Fabaceae
Sararanga philippinensis,1,Sararanga philippinensis,Sararanga,Pandanaceae
Sarcanthemum coronopus,13,Sarcanthemum coronopus,Sarcanthemum,Asteraceae
Sarcocephalus latifolius,1,Sarcocephalus latifolius,Sarcocephalus,Rubiaceae
Saribus rotundifolius,1,Saribus rotundifolius,Saribus,Arecaceae
Satakentia liukiuensis,3,Satakentia liukiuensis,Satakentia,Arecaceae
Sauropus androgynus,1,Sauropus androgynus,Sauropus,Phyllanthaceae
Scadoxus multiflorus,31,Scadoxus multiflorus,Scadoxus,Amaryllidaceae
Scaevola mollis,6,Scaevola mollis,Scaevola,Goodeniaceae
Scaevola gaudichaudii,14,Scaevola gaudichaudii,Scaevola,Goodeniaceae
Scaevola coriacea,145,Scaevola coriacea,Scaevola,Goodeniaceae
Scaevola gaudichaudiana,155,Scaevola gaudichaudiana,Scaevola,Goodeniaceae
Scaevola procera,228,Scaevola procera,Scaevola,Goodeniaceae
Scaevola taccada,2428,Scaevola taccada,Scaevola,Goodeniaceae
Scaphochlamys sp.,1,Scaphochlamys,Scaphochlamys,Zingiberaceae
Scaphyglottis sp.,3,Scaphyglottis,Scaphyglottis,Orchidaceae
Schaueria calycotricha,4,Schaueria calicotricha,Schaueria,Acanthaceae
Schefflera albidobracteata,1,Schefflera albidobracteata,Schefflera,Araliaceae
Schefflera arboricola,1,Schefflera arboricola,Schefflera,Araliaceae
Schefflera elliptica,1,Schefflera elliptica,Schefflera,Araliaceae
Schefflera insularum,1,Schefflera insularum,Schefflera,Araliaceae
Schefflera leptophylla,1,Schefflera leptophylla,Schefflera,Araliaceae
Schefflera osyana,1,Schefflera osyana,Schefflera,Araliaceae
Schiedea viscosa,1,Alsinidendron viscosum,Alsinidendron,Caryophyllaceae
Schiedea perlmanii,2,Schiedea perlmanii,Schiedea,Caryophyllaceae
Schiedea globosa,3,Schiedea globosa,Schiedea,Caryophyllaceae
Schiedea kaalae,4,Schiedea kaalae,Schiedea,Caryophyllaceae
Schiedea verticillata,5,Schiedea verticillata,Schiedea,Caryophyllaceae
Schiedea apokremnos,7,Schiedea apokremnos,Schiedea,Caryophyllaceae
Schiedea stellarioides,19,Schiedea stellarioides,Schiedea,Caryophyllaceae
Schiedea lychnoides,39,Schiedea lychnoides,Schiedea,Caryophyllaceae
Schiedea spergulina,123,Schiedea spergulina,Schiedea,Caryophyllaceae
Schizolobium parahyba,4,Schizolobium parahyba,Schizolobium,Caryophyllaceae
Schizostachyum sp.,1,Schizostachyum,Schizostachyum,Poaceae
Schizostachyum glaucifolium,14,Schizostachyum glaucifolium,Schizostachyum,Poaceae
Schoenoplectiella juncoides,23,Schoenoplectiella juncoides,Schoenoplectiella,Cyperaceae
Schoenoplectus tabernaemontani,389,Schoenoplectus tabernaemontani,Schoenoplectus,Cyperaceae
